cp5,municipio,municipio_consolidado,provincia_consolidada
30739,Torre-Pacheco,Torre-Pacheco,Murcia
30818,Lorca,Lorca,Murcia
30833,Murcia,Murcia,Murcia
31243,Igúzquiza,Igúzquiza,Navarra
31694,Erro,Erro,Navarra
33318,Villaviciosa,Villaviciosa,Asturias
33735,Pesoz,Pesoz,Asturias
36885,Cañiza,Cañiza,Pontevedra
37214,Peña,Valsalabroso,Salamanca
37617,Herguijuela de la Sierra,Herguijuela de la Sierra,Salamanca
38008,Santa Cruz de Tenerife,Santa Cruz de Tenerife,Santa Cruz de Tenerife
38109,Santa Cruz de Tenerife,Santa Cruz de Tenerife,Santa Cruz de Tenerife
38420,San Juan de la Rambla,San Juan de la Rambla,Santa Cruz de Tenerife
38594,Granadilla de Abona,Granadilla de Abona,Santa Cruz de Tenerife
40133,Marazuela,Marazuela,Segovia
40392,Cabañas de Polendos,Cabañas de Polendos,Segovia
44586,Peñarroya de Tastavins,Peñarroya de Tastavins,Teruel
45214,Cedillo del Condado,Cedillo del Condado,Toledo
45580,Calzada de Oropesa,Calzada de Oropesa,Toledo
46409,Cullera,Cullera,Valencia
47115,Berceruelo,Berceruelo,Valladolid
47134,Torrelobatón,San Salvador,Valladolid
48311,Ea,Ea,Vizcaya
48381,Munitibar-Arbatzegi Gerrikaitz,Munitibar-Arbatzegi Gerrikaitz,Vizcaya
49830,Belver de los Montes,Belver de los Montes,Zamora
50683,Sigüés,Sigüés,Zaragoza
1110,Campezo/Kanpezu,Campezo/Kanpezu,Álava
1520,Vitoria-Gasteiz,Vitoria-Gasteiz,Álava
3360,Callosa de Segura,Callosa de Segura,Alicante
4878,Suflí,Suflí,Almería
5140,Casasola,Bularros,Ávila
5630,Santiago del Tormes,Bohoyo,Ávila
6170,Badajoz,Badajoz,Badajoz
7159,Andratx,Andratx,Baleares
8850,Gavà,Gavà,Barcelona
8871,Sitges,Sitges,Barcelona
9248,Prádanos de Bureba,Belorado,Burgos
9443,Gumiel de Mercado,Gumiel de Mercado,Burgos
10261,Puerto de Santa Cruz,Puerto de Santa Cruz,Cáceres
10830,Torrejoncillo,Torrejoncillo,Cáceres
10896,Perales del Puerto,Perales del Puerto,Cáceres
12161,Torre d'En Besora,Torre d'En Besora,Castellón
13333,Fuenllana,Fuenllana,Ciudad Real
16193,Cuenca,Cuenca,Cuenca
17866,Camprodon,Camprodon,Gerona
19247,Membrillera,Jadraque,Guadalajara
19320,Alustante,Alustante,Guadalajara
21300,Calañas,Calañas,Huelva
22338,Pueyo de Araguás,Pueyo de Araguás,Huesca
22362,Puértolas,Puértolas,Huesca
24328,Villazanzo de Valderaduey,Cea,León
24469,Páramo del Sil,Toreno,León
24813,Cistierna,Cistierna,León
25261,Penelles,Penelles,Lérida
25737,Foradada,Artesa de Segre,Lérida
27367,Láncara,Láncara,Lugo
27372,Guitiriz,Guitiriz,Lugo
27591,Monforte de Lemos,Monforte de Lemos,Lugo
27595,Chantada,Chantada,Lugo
28022,Madrid,Madrid,Madrid
29693,Estepona,Estepona,Málaga
30558,Abarán,Abarán,Murcia
30800,Lorca,Lorca,Murcia
31174,Ciriza,Guirguillano,Navarra
31380,Caparroso,Caparroso,Navarra
31620,Egüés,Egüés,Navarra
32161,Nogueira de Ramuín,Nogueira de Ramuín,Ourense
32615,Verín,Verín,Ourense
32632,Xinzo de Limia,Xinzo de Limia,Ourense
33158,Cudillero,Cudillero,Asturias
36416,Mos,Mos,Pontevedra
37594,Encina,Ciudad Rodrigo,Salamanca
38180,Santa Cruz de Tenerife,Santa Cruz de Tenerife,Santa Cruz de Tenerife
39410,Valdeolea,Valdeolea,Cantabria
40144,Bercial,Sangarcía,Segovia
40354,Perosillo,Perosillo,Segovia
42148,Casarejos,Talveila,Soria
43364,Capafonts,Mont-ral,Tarragona
44159,Miravete de la Sierra,Miravete de la Sierra,Teruel
44423,Manzanera,Manzanera,Teruel
45663,Herencias,Herencias,Toledo
45694,Talavera de la Reina,Talavera de la Reina,Toledo
46220,Picassent,Picassent,Valencia
46595,Torres Torres,Torres Torres,Valencia
46900,Torrent,Torrent,Valencia
47520,Castronuño,Castronuño,Valladolid
49325,Asturianos,Asturianos,Zamora
49574,Lubián,Lubián,Zamora
3430,Onil,Onil,Alicante
4549,Gérgal,Gérgal,Almería
5153,Arevalillo,Mirón,Ávila
5571,Bonilla de la Sierra,Bonilla de la Sierra,Ávila
6187,Lobón,Lobón,Badajoz
6240,Fuente de Cantos,Fuente de Cantos,Badajoz
8254,Pont de Vilomara i Rocafort,Pont de Vilomara i Rocafort,Barcelona
8395,Sant Pol de Mar,Sant Pol de Mar,Barcelona
8760,Martorell,Martorell,Barcelona
8859,Begues,Begues,Barcelona
9248,Briviesca,Belorado,Burgos
9257,Villafranca Montes de Oca,Villafranca Montes de Oca,Burgos
9611,Villanueva de Carazo,Hacinas,Burgos
10391,Rosalejo,Rosalejo,Cáceres
11180,Alcalá de los Gazules,Alcalá de los Gazules,Cádiz
12429,Pina de Montalgrao,Toro,Castellón
15116,Cabana de Bergantiños,Cabana de Bergantiños,A Coruña
15281,Rois,Rois,A Coruña
15560,San Sadurniño,San Sadurniño,A Coruña
15611,Cabanas,Cabanas,A Coruña
15686,Mesía,Mesía,A Coruña
15805,Melide,Melide,A Coruña
16150,Tragacete,Tragacete,Cuenca
17242,Quart,Quart,Gerona
17482,Sant Julià de Ramis,Sant Julià de Ramis,Gerona
17834,Camós,Porqueres,Gerona
17851,Maià de Montcal,Beuda,Gerona
19141,Aranzueque,Valdarachas,Guadalajara
19333,Tartanedo,Tartanedo,Guadalajara
22132,Torres de Alcanadre,Pertusa,Huesca
22339,Aínsa-Sobrarbe,Aínsa-Sobrarbe,Huesca
23314,Úbeda,Úbeda,Jaén
25230,Mollerussa,Mollerussa,Lérida
25551,Arres,Arres,Lérida
25591,Baix Pallars,Baix Pallars,Lérida
26131,Santa Engracia del Jubera,Santa Engracia del Jubera,La Rioja
27529,Carballedo,Carballedo,Lugo
27596,Taboada,Taboada,Lugo
28020,Madrid,Madrid,Madrid
28752,Lozoyuela-Navas-Sieteiglesias,Lozoyuela-Navas-Sieteiglesias,Madrid
30892,Librilla,Librilla,Murcia
31194,Ezcabarte,Juslapeña,Navarra
31311,Carcastillo,Carcastillo,Navarra
31450,Navascués,Navascués,Navarra
32136,Piñor,San Cristovo de Cea,Ourense
32556,Viana do Bolo,Viana do Bolo,Ourense
32695,Trasmiras,Trasmiras,Ourense
32814,Quintela de Leirado,Quintela de Leirado,Ourense
33630,Lena,Lena,Asturias
34260,Villamedianilla,Valles de Palenzuela,Burgos
35280,San Bartolomé de Tirajana,San Bartolomé de Tirajana,Las Palma
36529,Agolada,Lalín,Pontevedra
36660,Moraña,Moraña,Pontevedra
36812,Redondela,Redondela,Pontevedra
37183,Arapiles,San Pedro de Rozados,Salamanca
37251,Masueco,Aldeadávila de la Ribera,Salamanca
37659,San Miguel del Robledo,Casas del Conde,Salamanca
38355,Tacoronte,Tacoronte,Santa Cruz de Tenerife
40136,Santa María la Real de Nieva,Santa María la Real de Nieva,Segovia
40530,Barbolla,Aldeonte,Segovia
41660,Villanueva de San Juan,Villanueva de San Juan,Sevilla
41749,Cuervo de Sevilla,Cuervo de Sevilla,Sevilla
42366,Velamazán,Berlanga de Duero,Soria
43783,Pobla de Massaluca,Pobla de Massaluca,Tarragona
46016,Tavernes Blanques,Valencia,Valencia
46174,Domeño,Domeño,Valencia
46249,Carlet,Carlet,Valencia
46460,Silla,Silla,Valencia
46622,Teresa de Cofrentes,Teresa de Cofrentes,Valencia
49211,Carbellino,Bermillo de Sayago,Zamora
50220,Ariza,Ariza,Zaragoza
50316,Torrelapaja,Bijuesca,Zaragoza
50369,Nombrevilla,Lechón,Zaragoza
50614,Ardisa,Ardisa,Zaragoza
50782,Cinco Olivas,Cinco Olivas,Zaragoza
1193,Iruraiz-Gauna,Vitoria-Gasteiz,Álava
2695,Chinchilla de Monte-Aragón,Chinchilla de Monte-Aragón,Albacete
3668,Algueña,Algueña,Alicante
3723,Alcalalí,Alcalalí,Alicante
3778,Beniarbeig,Beniarbeig,Alicante
4550,Gérgal,Gérgal,Almería
5230,Navas del Marqués,Navas del Marqués,Ávila
5380,Gimialcón,Salvadiós,Ávila
6209,Solana de los Barros,Solana de los Barros,Badajoz
7691,Santanyí,Santanyí,Baleares
8183,Castellterçol,Castellcir,Barcelona
8737,Torrelles de Foix,Torrelles de Foix,Barcelona
8849,Sant Climent de Llobregat,Sant Climent de Llobregat,Barcelona
8902,Hospitalet de Llobregat,Hospitalet de Llobregat,Barcelona
9125,Basconcillos del Tozo,Villadiego,Burgos
9556,Villarcayo de Merindad de Castilla la Vieja,Villarcayo de Merindad de Castilla la Vieja,Burgos
9680,Palacios de la Sierra,Palacios de la Sierra,Burgos
10340,Castañar de Ibor,Castañar de Ibor,Cáceres
10811,Morcillo,Guijo de Galisteo,Cáceres
13360,Granátula de Calatrava,Granátula de Calatrava,Ciudad Real
17539,Bolvir,Isòvol,Gerona
17708,Cantallops,Jonquera,Gerona
18129,Santa Cruz del Comercio,Alhama de Granada,Granada
18290,Atarfe,Atarfe,Granada
18657,Nigüelas,Nigüelas,Granada
19117,Albalate de Zorita,Albalate de Zorita,Guadalajara
19188,Uceda,Uceda,Guadalajara
20100,Errenteria,Donostia-San Sebastián,Guipúzcoa
20140,Andoain,Andoain,Guipúzcoa
21390,Encinasola,Encinasola,Huelva
21891,Chucena,Chucena,Huelva
22004,Huesca,Huesca,Huesca
22196,Huesca,Huesca,Huesca
22809,Loarre,Ayerbe,Huesca
23412,Rus,Rus,Jaén
24648,Robla,Robla,León
24836,Matallana de Torío,Matallana de Torío,León
25241,Golmés,Golmés,Lérida
25334,Castellserà,Castellserà,Lérida
25539,Naut Aran,Vielha e Mijaran,Lérida
25597,Guingueta d'Àneu,Guingueta d'Àneu,Lérida
25791,Tiurana,Tiurana,Lérida
27630,Triacastela,Triacastela,Lugo
28193,Cervera de Buitrago,Cervera de Buitrago,Madrid
28737,Piñuécar-Gandullas,Serna del Monte,Madrid
28755,Acebeda,Madarcos,Madrid
29001,Málaga,Málaga,Málaga
31008,Pamplona/Iruña,Pamplona/Iruña,Navarra
31522,Monteagudo,Monteagudo,Navarra
31670,Orbaitzeta,Orbaitzeta,Navarra
32226,Padrenda,Padrenda,Ourense
32235,Pontedeva,Pontedeva,Ourense
32698,Oímbra,Verín,Ourense
33427,Llanera,Llanera,Asturias
34889,Fresno del Río,Guardo,Palencia
35457,Santa María de Guía de Gran Canaria,Santa María de Guía de Gran Canaria,Las Palma
36435,Arbo,Arbo,Pontevedra
37130,Mata de Ledesma,Tabera de Abajo,Salamanca
37175,Pereña de la Ribera,Pereña de la Ribera,Salamanca
37246,Sobradillo,Sobradillo,Salamanca
37329,Ventosa del Río Almar,Alconada,Salamanca
37440,Barbadillo,Barbadillo,Salamanca
40005,Segovia,Segovia,Segovia
40006,Segovia,Segovia,Segovia
40552,Campo de San Pedro,Campo de San Pedro,Segovia
40594,Ayllón,Ayllón,Segovia
42126,Cihuela,Almazul,Soria
42351,Burgo de Osma-Ciudad de Osma,Burgo de Osma-Ciudad de Osma,Soria
43151,Pallaresos,Pallaresos,Tarragona
44492,Bea,Fonfría,Teruel
44643,Cañada de Verich,Ginebrosa,Teruel
45518,Gerindote,Gerindote,Toledo
46140,Puebla de San Miguel,Castielfabib,Valencia
47011,Valladolid,Valladolid,Valladolid
47176,Esguevillas de Esgueva,Esguevillas de Esgueva,Valladolid
48200,Durango,Durango,Vizcaya
48230,Elorrio,Elorrio,Vizcaya
49540,Olmillos de Castro,Olmillos de Castro,Zamora
49639,Tapioles,Cotanes del Monte,Zamora
50132,Codo,Codo,Zaragoza
50741,Fuentes de Ebro,Fuentes de Ebro,Zaragoza
1211,Condado de Treviño,Condado de Treviño,Burgos
3827,Benillup,Benimarfull,Alicante
3828,Planes,Planes,Alicante
4149,Carboneras,Sorbas,Almería
4898,Serón,Serón,Almería
6659,Baterno,Baterno,Badajoz
7748,Mercadal,Mercadal,Baleares
8263,Sant Mateu de Bages,Sant Mateu de Bages,Barcelona
8718,Cabrera d'Anoia,Cabrera d'Anoia,Barcelona
8734,Olèrdola,Avinyonet del Penedès,Barcelona
9108,Zarzosa de Río Pisuerga,Melgar de Fernamental,Burgos
10623,Caminomorisco,Nuñomoral,Cáceres
11550,Chipiona,Chipiona,Cádiz
13770,Viso del Marqués,Viso del Marqués,Ciudad Real
15107,Carballo,Carballo,A Coruña
15295,Carnota,Carnota,A Coruña
15316,Coirós,Coirós,A Coruña
15600,Pontedeume,Pontedeume,A Coruña
17465,"Saus, Camallera i Llampaies",Vilaür,Gerona
17469,Vilamalla,Riumors,Gerona
18314,Loja,Loja,Granada
19229,Montarrón,Cogolludo,Guadalajara
22197,Huesca,Huesca,Huesca
22320,Bárcabo,Bárcabo,Huesca
22482,Isábena,Isábena,Huesca
22771,Canal de Berdún,Canal de Berdún,Huesca
23210,Guarromán,Guarromán,Jaén
23526,Mancha Real,Mancha Real,Jaén
24227,Valdefresno,Valdefresno,León
24343,Santa María del Monte de Cea,Santa María del Monte de Cea,León
25341,Ciutadilla,Guimerà,Lérida
25722,Valls de Valira,Valls de Valira,Lérida
27267,Castro de Rei,Castro de Rei,Lugo
27416,Monforte de Lemos,Monforte de Lemos,Lugo
27843,Vilalba,Vilalba,Lugo
28923,Alcorcón,Alcorcón,Madrid
30591,Torre-Pacheco,Torre-Pacheco,Murcia
30629,Fortuna,Fortuna,Murcia
31016,Pamplona/Iruña,Pamplona/Iruña,Navarra
32895,Lobios,Lobios,Ourense
33186,Siero,Siero,Asturias
33518,Sariego,Siero,Asturias
34111,Pino del Río,Saldaña,Palencia
34261,Villalaco,Villalaco,Palencia
36331,Vigo,Vigo,Pontevedra
36559,Forcarei,Forcarei,Pontevedra
37493,Pelarrodríguez,Fuente de San Esteban,Salamanca
37550,Campillo de Azaba,Campillo de Azaba,Salamanca
37608,Tamames,Tamames,Salamanca
37766,Endrinal,Pedrosillo de los Aires,Salamanca
38010,Santa Cruz de Tenerife,Santa Cruz de Tenerife,Santa Cruz de Tenerife
39507,Cabezón de la Sal,Cabezón de la Sal,Cantabria
39518,Cabuérniga,Cabuérniga,Cantabria
39592,Mazcuerras,Cabezón de la Sal,Cantabria
40315,Castrojimeno,Castrojimeno,Segovia
40592,Cerezo de Arriba,Cerezo de Arriba,Segovia
41012,Sevilla,Sevilla,Sevilla
41400,Écija,Écija,Sevilla
42216,Baraona,Baraona,Soria
42240,Medinaceli,Arcos de Jalón,Soria
43840,Salou,Tarragona,Tarragona
43881,Cunit,Cunit,Tarragona
44003,Teruel,Teruel,Teruel
44126,Albarracín,Albarracín,Teruel
45695,Calera y Chozas,Calera y Chozas,Toledo
46740,Carcaixent,Carcaixent,Valencia
48314,Gautegiz Arteaga,Gautegiz Arteaga,Vizcaya
49001,Zamora,Zamora,Zamora
49033,Zamora,Zamora,Zamora
49342,Rosinos de la Requejada,Espadañedo,Zamora
1322,Oyón-Oion,Oyón-Oion,Álava
2440,Molinicos,Molinicos,Albacete
3700,Dénia,Dénia,Alicante
3791,Orba,Orba,Alicante
4271,Bédar,Sorbas,Almería
4878,Sierro,Suflí,Almería
5416,Arenal,Arenal,Ávila
5516,Hoyorredondo,Villar de Corneja,Ávila
8002,Barcelona,Barcelona,Barcelona
8629,Torrelles de Llobregat,Torrelles de Llobregat,Barcelona
8635,Sant Esteve Sesrovires,Sant Esteve Sesrovires,Barcelona
9133,Hormazas,Villadiego,Burgos
9211,Valle de Tobalina,Oña,Burgos
9260,Pradoluengo,Pradoluengo,Burgos
9585,Valle de Mena,Valle de Mena,Burgos
11594,Jerez de la Frontera,Jerez de la Frontera,Cádiz
14500,Puente Genil,Puente Genil,Córdoba
15890,Santiago de Compostela,Santiago de Compostela,A Coruña
16122,Valdetórtola,Valdetórtola,Cuenca
17183,Vilobí d'Onyar,Vilobí d'Onyar,Gerona
17539,Ger,Isòvol,Gerona
18565,Campotéjar,Iznalloz,Granada
19336,Pardos,Pardos,Guadalajara
19462,Peñalén,Peñalén,Guadalajara
20590,Soraluze/Placencia de las Armas,Soraluze/Placencia de las Armas,Guipúzcoa
21360,Jabugo,Jabugo,Huelva
22351,Bielsa,Bielsa,Huesca
22394,Fueva,Aínsa-Sobrarbe,Huesca
22589,Benabarre,Benabarre,Huesca
23479,Cazorla,Cazorla,Jaén
24100,Villablino,Villablino,León
24195,Villaquilambre,Valdefresno,León
24394,Valderrey,Valderrey,León
24795,Riego de la Vega,Riego de la Vega,León
25571,Vall de Cardós,Vall de Cardós,Lérida
26130,Clavijo,Clavijo,La Rioja
26150,Agoncillo,Agoncillo,La Rioja
26375,Entrena,Entrena,La Rioja
28011,Madrid,Madrid,Madrid
29330,Almargen,Almargen,Málaga
30397,Cartagena,Cartagena,Murcia
31174,Guirguillano,Guirguillano,Navarra
31514,Valtierra,Valtierra,Navarra
32740,Maceda,Maceda,Ourense
32830,Merca,Merca,Ourense
33187,Siero,Siero,Asturias
33392,Gijón,Gijón,Asturias
33829,Candamo,Salas,Asturias
33957,Mieres,Mieres,Asturias
34111,Villaluenga de la Vega,Saldaña,Palencia
34349,Boadilla de Rioseco,Villada,Palencia
35413,Arucas,Arucas,Las Palma
39009,Santander,Santander,Cantabria
39314,Santillana del Mar,Santillana del Mar,Cantabria
39528,Comillas,Valdáliga,Cantabria
39738,Hazas de Cesto,Solórzano,Cantabria
40462,Aldeanueva del Codonal,Aldeanueva del Codonal,Segovia
41808,Villanueva del Ariscal,Villanueva del Ariscal,Sevilla
42193,Calatañazor,Burgo de Osma-Ciudad de Osma,Soria
44793,Segura de los Baños,Segura de los Baños,Teruel
46200,Paiporta,Paiporta,Valencia
46321,Utiel,Utiel,Valencia
46419,Sueca,Sueca,Valencia
49166,Villalcampo,Villalcampo,Zamora
49390,Robleda-Cervantes,Robleda-Cervantes,Zamora
49783,Maire de Castroponce,Coomonte,Zamora
50238,Jaraba,Jaraba,Zaragoza
50314,Clarés de Ribota,Clarés de Ribota,Zaragoza
50367,Retascón,Retascón,Zaragoza
50685,Pintanos,Navardún,Zaragoza
3330,Crevillent,Crevillent,Alicante
4150,Almería,Almería,Almería
6731,Navalvillar de Pela,Navalvillar de Pela,Badajoz
7660,Santanyí,Santanyí,Baleares
8980,Sant Feliu de Llobregat,Barcelona,Barcelona
10001,Cáceres,Cáceres,Cáceres
10193,Talaván,Talaván,Cáceres
10420,Tejeda de Tiétar,Tejeda de Tiétar,Cáceres
10750,Baños de Montemayor,Baños de Montemayor,Cáceres
11687,Gastor,Gastor,Cádiz
14207,Granjuela,Granjuela,Córdoba
14210,Villaharta,Espiel,Córdoba
15564,Moeche,Moeche,A Coruña
15638,Vilarmaior,Vilarmaior,A Coruña
16161,Torrejoncillo del Rey,Torrejoncillo del Rey,Cuenca
16415,Villamayor de Santiago,Villamayor de Santiago,Cuenca
16638,Pedernoso,Pedernoso,Cuenca
17462,Madremanya,Sant Martí Vell,Gerona
17469,Siurana,Riumors,Gerona
17483,Bàscara,Vilaür,Gerona
18007,Granada,Granada,Granada
19129,Alique,Pareja,Guadalajara
19237,Cogolludo,Cogolludo,Guadalajara
19245,Jirueque,Cendejas de Enmedio,Guadalajara
19361,Yunta,Yunta,Guadalajara
19491,Sotillo,Cifuentes,Guadalajara
20218,Beasain,Beasain,Guipúzcoa
20248,Gaintza,Arama,Guipúzcoa
22133,Angüés,Angüés,Huesca
22315,Hoz y Costean,Hoz y Costean,Huesca
22480,Capella,Graus,Huesca
22559,Tamarite de Litera,Tamarite de Litera,Huesca
23007,Jaén,Jaén,Jaén
23488,Quesada,Quesada,Jaén
24142,Cabrillanes,Cabrillanes,León
24198,Valverde de la Virgen,Valverde de la Virgen,León
24231,Chozas de Abajo,Chozas de Abajo,León
24511,Villafranca del Bierzo,Villafranca del Bierzo,León
25413,Floresta,Floresta,Lérida
25577,Lladorre,Lladorre,Lérida
26310,Badarán,Badarán,La Rioja
26527,Cervera del Río Alhama,Cervera del Río Alhama,La Rioja
27328,Folgoso do Courel,Quiroga,Lugo
27836,Muras,Muras,Lugo
28033,Madrid,Madrid,Madrid
28932,Móstoles,Móstoles,Madrid
31282,Nazar,Mendaza,Navarra
31630,Esteribar,Esteribar,Navarra
32618,Monterrei,Monterrei,Ourense
33724,Boal,Boal,Asturias
33876,Tineo,Tineo,Asturias
33989,Laviana,Laviana,Asturias
34469,Requena de Campos,Osorno la Mayor,Palencia
36681,Estrada,Estrada,Pontevedra
37110,Zamayón,San Pelayo de Guareña,Salamanca
37797,Forfoleda,Castellanos de Villiquera,Salamanca
38130,Santa Cruz de Tenerife,Santa Cruz de Tenerife,Santa Cruz de Tenerife
38438,Icod de los Vinos,Icod de los Vinos,Santa Cruz de Tenerife
42140,San Leonardo de Yagüe,San Leonardo de Yagüe,Soria
43770,Móra la Nova,Móra la Nova,Tarragona
43813,Alió,Valls,Tarragona
43840,Tarragona,Tarragona,Tarragona
44191,Valacloche,Valacloche,Teruel
44192,Teruel,Teruel,Teruel
46119,Náquera,Náquera,Valencia
48460,Urduña/Orduña,Urduña/Orduña,Vizcaya
49009,Zamora,Zamora,Zamora
49167,Muelas del Pan,Muelas del Pan,Zamora
49396,Cobreros,Cobreros,Zamora
49524,Viñas,San Vitero,Zamora
50213,Nuévalos,Nuévalos,Zaragoza
50258,Jarque,Jarque,Zaragoza
1427,Jurisdicción de San Zadornil,Valdegovía/Gaubea,Burgos
1450,Urkabustaiz,Amurrio,Álava
2137,Peñascosa,Peñascosa,Albacete
3150,Dolores,Dolores,Alicante
3296,Elche/Elx,Elche/Elx,Alicante
4211,Tabernas,Tabernas,Almería
4558,Alboloduy,Gérgal,Almería
5630,Bohoyo,Bohoyo,Ávila
5631,San Juan de Gredos,San Juan de Gredos,Ávila
6692,Helechosa de los Montes,Helechosa de los Montes,Badajoz
7310,Campanet,Campanet,Baleares
8519,Folgueroles,Sant Bartomeu del Grau,Barcelona
8699,Vallcebre,Vallcebre,Barcelona
12230,Toga,Espadilla,Castellón
14299,Fuente Obejuna,Fuente Obejuna,Córdoba
14729,Almodóvar del Río,Almodóvar del Río,Córdoba
15199,Culleredo,Culleredo,A Coruña
15910,Padrón,Padrón,A Coruña
16521,Huete,Huete,Cuenca
17161,Osor,Osor,Gerona
17770,Borrassà,Borrassà,Gerona
18328,Pinos Puente,Pinos Puente,Granada
19277,Tordelrábano,Atienza,Guadalajara
22194,Sotonera,Huesca,Huesca
23629,Jabalquinto,Jabalquinto,Jaén
24327,Villazanzo de Valderaduey,Cea,León
24379,Villagatón,Torre del Bierzo,León
29532,Mollina,Mollina,Málaga
30160,Murcia,Murcia,Murcia
31570,San Adrián,San Adrián,Navarra
33192,Llanera,Siero,Asturias
33557,Cangas de Onís,Parres,Asturias
34210,Dueñas,Dueñas,Palencia
36388,Gondomar,Gondomar,Pontevedra
36945,Cangas,Cangas,Pontevedra
37110,San Pelayo de Guareña,San Pelayo de Guareña,Salamanca
37170,Pino de Tormes,Carrascal de Barregas,Salamanca
37281,Cubo de Don Sancho,Pozos de Hinojo,Salamanca
37497,Gallegos de Argañán,Villar de la Yegua,Salamanca
38615,Vilaflor,Vilaflor,Santa Cruz de Tenerife
39538,Reocín,Reocín,Cantabria
39573,Cabezón de Liébana,Cabezón de Liébana,Cantabria
39694,Santa María de Cayón,Santa María de Cayón,Cantabria
41610,Paradas,Paradas,Sevilla
43510,Tortosa,Tortosa,Tarragona
43748,Ginestar,Ginestar,Tarragona
44580,Valderrobres,Valderrobres,Teruel
45292,Villaseca de la Sagra,Villaseca de la Sagra,Toledo
46014,Valencia,Valencia,Valencia
46019,Valencia,Valencia,Valencia
46500,Sagunto/Sagunt,Sagunto/Sagunt,Valencia
46759,Simat de la Valldigna,Simat de la Valldigna,Valencia
47129,Adalia,San Pelayo,Valladolid
47610,Zaratán,Zaratán,Valladolid
48930,Getxo,Getxo,Vizcaya
49008,Zamora,Zamora,Zamora
49164,Videmala,Muelas del Pan,Zamora
50211,Castejón de las Armas,Castejón de las Armas,Zaragoza
50311,Torralba de Ribota,Torralba de Ribota,Zaragoza
50695,Biota,Biota,Zaragoza
1220,Ribera Baja/Erribera Beitia,Erriberagoitia/Ribera Alta,Álava
1308,Laguardia,Laguardia,Álava
3803,Alcoy/Alcoi,Alcoy/Alcoi,Alicante
4480,Alcolea,Alcolea,Almería
4558,Gérgal,Gérgal,Almería
4711,Ejido,Ejido,Almería
5163,Peñalba de Ávila,Mingorría,Ávila
5212,Fuente el Saúz,Villanueva del Aceral,Ávila
5309,Muñogrande,Crespos,Ávila
5634,Hoyos del Espino,Hoyos del Espino,Ávila
6893,San Pedro de Mérida,San Pedro de Mérida,Badajoz
7014,Palma,Palma,Baleares
7208,Felanitx,Felanitx,Baleares
7650,Santanyí,Santanyí,Baleares
8041,Barcelona,Barcelona,Barcelona
8186,Lliçà d'Amunt,Lliçà d'Amunt,Barcelona
8223,Terrassa,Terrassa,Barcelona
8908,Hospitalet de Llobregat,Hospitalet de Llobregat,Barcelona
9120,Villadiego,Villadiego,Burgos
9230,Frandovínez,Estépar,Burgos
9248,Bañuelos de Bureba,Belorado,Burgos
9268,Rábanos,Rábanos,Burgos
10849,Gata,Gata,Cáceres
12193,Vilafamés,Vilafamés,Castellón
13596,Almodóvar del Campo,Almodóvar del Campo,Ciudad Real
14270,Hinojosa del Duque,Hinojosa del Duque,Córdoba
15148,Coristanco,Coristanco,A Coruña
16143,Sotorribas,Sotorribas,Cuenca
16214,Valhermoso de la Fuente,Gabaldón,Cuenca
16433,Villar de Cañas,Alconchel de la Estrella,Cuenca
16879,Carrascosa,Beteta,Cuenca
17130,Torroella de Montgrí,Torroella de Montgrí,Gerona
17864,Vall de Bianya,Vall de Bianya,Gerona
18327,Láchar,Láchar,Granada
18818,Castilléjar,Castilléjar,Granada
19295,Viana de Jadraque,Viana de Jadraque,Guadalajara
20800,Aia,Aia,Guipúzcoa
21420,Ayamonte,Isla Cristina,Huelva
21890,Manzanilla,Manzanilla,Huelva
22373,Broto,Broto,Huesca
22510,Binaced,Binaced,Huesca
23350,Puente de Génave,Puente de Génave,Jaén
23770,Marmolejo,Marmolejo,Jaén
24402,Ponferrada,Ponferrada,León
24492,Cubillos del Sil,Cubillos del Sil,León
24545,Arganza,Sancedo,León
25154,Castelldans,Castelldans,Lérida
25330,Vilagrassa,Vilagrassa,Lérida
27655,Navia de Suarna,Navia de Suarna,Lugo
30190,Albudeite,Albudeite,Murcia
30410,Caravaca de la Cruz,Caravaca de la Cruz,Murcia
32960,Ourense,Ourense,Ourense
33731,Boal,Boal,Asturias
34249,Hornillos de Cerrato,Baltanás,Palencia
34305,Castromocho,Capillas,Palencia
34485,Micieces de Ojeda,Olmos de Ojeda,Palencia
35507,Teguise,Teguise,Las Palma
35510,Tías,Tías,Las Palma
36163,Pontevedra,Pontevedra,Pontevedra
36459,Salvaterra de Miño,Salvaterra de Miño,Pontevedra
36537,Rodeiro,Rodeiro,Pontevedra
37260,Villavieja de Yeltes,Bogajo,Salamanca
37479,Castillejo de Martín Viejo,Sancti-Spíritus,Salamanca
37640,Abusejo,Abusejo,Salamanca
38687,Guía de Isora,Guía de Isora,Santa Cruz de Tenerife
39007,Santander,Santander,Cantabria
39191,Bareyo,Bareyo,Cantabria
39230,Valderredible,Valderredible,Cantabria
39798,Castro-Urdiales,Castro-Urdiales,Cantabria
39849,Ampuero,Ampuero,Cantabria
40320,Cantalejo,Cantalejo,Segovia
40500,Riaza,Riaza,Segovia
41989,Algaba,Algaba,Sevilla
43491,Valls,Valls,Tarragona
44556,Molinos,Molinos,Teruel
44652,Monroyo,Monroyo,Teruel
45126,Cuerva,Mazarambroz,Toledo
